timestamp,source_ip,destination_ip,action,severity
2024-10-17T22:05:31,186.150.101.188,17.146.208.34,ALLOW,Medium
2024-06-02T04:46:43,217.97.134.246,85.226.32.27,ALLOW,Medium
2024-09-20T04:11:35,78.248.25.120,116.67.238.144,ALLOW,Medium
2024-06-02T09:45:34,114.126.170.122,179.125.152.126,DENY,Low
2024-08-09T14:30:01,66.253.231.152,75.33.149.100,DENY,Medium
2024-11-26T15:33:38,31.200.26.25,223.247.178.107,ALLOW,High
2024-05-12T14:55:06,184.40.91.64,120.243.27.180,ALLOW,Low
2024-01-19T00:08:19,35.48.94.225,104.169.76.107,ALLOW,Low
2024-06-24T08:16:40,97.202.187.22,123.232.78.62,DENY,Low
2024-08-31T20:29:47,158.102.255.1,138.168.75.124,DENY,Low
2024-07-17T11:47:37,211.213.166.99,114.227.184.199,DENY,Medium
2024-06-11T21:23:32,61.123.7.6,220.155.30.141,ALLOW,Low
2024-06-12T18:23:07,93.163.150.189,208.70.90.247,ALLOW,High
2024-01-27T19:45:03,125.231.165.209,92.171.241.59,DENY,Low
2024-04-08T02:22:29,30.25.199.138,203.176.124.59,ALLOW,Low
2024-11-29T12:38:36,5.101.43.49,131.11.176.204,ALLOW,Medium
2024-04-04T16:42:17,22.65.61.253,101.18.125.118,DENY,Low
2024-02-11T09:41:16,161.68.121.229,58.109.247.66,ALLOW,Medium
2024-12-02T12:47:40,190.222.151.3,168.52.153.42,DENY,High
2024-07-10T23:38:11,160.152.254.50,124.120.220.47,ALLOW,Low
2024-05-14T23:07:44,6.117.94.82,104.208.150.212,ALLOW,Low
2024-02-05T13:40:36,94.145.22.146,22.211.176.135,ALLOW,Low
2024-03-29T16:36:59,216.184.135.111,177.27.211.87,DENY,Low
2024-09-02T02:55:54,208.216.34.24,187.178.103.183,DENY,Low
2024-08-13T01:42:37,36.95.85.171,164.169.240.241,ALLOW,Low
2024-04-20T11:54:19,98.9.59.24,112.227.224.190,DENY,High
2024-02-25T13:13:49,133.103.174.154,41.28.80.45,ALLOW,Medium
2024-08-16T01:00:26,200.234.200.104,36.192.147.100,ALLOW,Low
2024-03-26T03:25:05,83.123.232.195,4.139.13.156,ALLOW,Low
2024-05-01T16:45:40,200.175.254.15,197.118.204.133,DENY,High
2024-05-13T02:11:34,130.94.75.236,216.251.126.142,ALLOW,Low
2024-03-19T00:55:35,156.120.8.45,178.207.32.140,ALLOW,Low
2024-11-20T21:37:04,16.233.0.153,59.39.35.152,DENY,Low
2024-08-26T08:55:22,13.48.188.175,76.75.35.48,ALLOW,Low
2024-04-19T19:09:08,85.245.54.116,156.37.188.139,DENY,Medium
2024-07-08T05:17:53,187.215.90.102,68.193.77.134,DENY,Medium
2024-04-24T20:44:46,172.52.169.179,173.51.172.20,ALLOW,Medium
2024-05-16T15:48:34,205.199.225.216,164.55.131.102,ALLOW,Medium
2024-03-24T19:49:14,19.217.232.220,56.170.230.167,ALLOW,Low
2024-02-04T00:06:49,2.247.74.7,1.149.134.138,ALLOW,Medium
2024-09-02T21:59:55,221.16.92.22,198.255.166.152,ALLOW,Medium
2024-09-11T07:01:23,191.3.128.70,84.176.59.229,ALLOW,Low
2024-08-25T17:25:18,78.51.132.162,71.41.246.11,DENY,Medium
2024-11-16T09:55:18,52.33.18.19,113.213.198.228,ALLOW,Medium
2024-01-04T05:05:53,221.31.201.92,91.210.232.59,ALLOW,Low
2024-06-21T03:48:17,131.74.179.251,129.76.135.72,DENY,Low
2024-05-22T20:19:01,218.123.93.209,30.158.54.245,DENY,Low
2024-01-13T10:20:13,196.242.237.179,78.69.188.200,ALLOW,Low
2024-07-14T22:32:27,64.215.233.40,83.17.132.2,DENY,Medium
2024-05-04T08:46:13,47.110.49.236,106.192.115.203,DENY,Low
2024-03-06T09:31:34,33.44.212.162,18.191.254.213,DENY,Low
2024-06-19T12:38:16,20.252.136.62,83.218.84.154,ALLOW,Low
2024-07-22T08:47:10,83.8.90.205,10.217.95.177,DENY,High
2024-09-07T10:21:03,26.195.59.14,120.77.144.48,ALLOW,Medium
2024-09-01T15:21:33,96.230.198.2,9.33.97.213,DENY,Low
2024-09-11T20:25:47,179.245.204.143,99.79.2.246,ALLOW,Low
2024-06-04T01:57:51,6.203.177.61,187.6.213.19,ALLOW,Low
2024-07-29T11:28:37,217.4.212.132,138.136.231.101,DENY,Medium
2024-02-13T17:13:10,140.115.189.78,107.77.138.68,DENY,Low
2024-01-18T00:03:53,126.3.170.57,48.212.8.87,DENY,Low
2024-07-03T19:08:16,107.98.12.96,99.77.143.22,ALLOW,Medium
2024-08-10T20:56:06,52.150.57.47,184.206.1.50,ALLOW,Low
2024-10-02T14:32:28,16.39.154.199,165.41.165.220,DENY,Low
2024-09-06T17:46:11,26.18.141.209,126.189.253.120,DENY,Low
2024-03-22T11:20:58,74.189.3.26,50.86.192.231,ALLOW,Low
2024-09-04T00:10:23,111.140.16.171,99.79.59.212,ALLOW,Low
2024-05-29T16:11:43,62.198.248.109,112.0.161.176,ALLOW,Medium
2024-10-02T19:40:33,212.75.213.43,193.194.87.1,ALLOW,Low
2024-03-04T06:24:56,102.193.63.90,202.242.168.0,ALLOW,Low
2024-04-03T23:11:17,67.252.84.13,182.88.175.241,DENY,Low
2024-10-12T07:53:50,8.57.119.70,63.152.212.49,ALLOW,Low
2024-10-10T02:33:10,115.168.219.242,88.153.224.10,ALLOW,Low
2024-11-26T06:27:30,117.124.37.42,22.77.89.150,ALLOW,Low
2024-05-20T16:45:03,123.48.218.129,218.250.209.228,ALLOW,Low
2024-11-10T13:18:49,128.102.66.110,99.58.182.41,ALLOW,Low
2024-05-11T11:18:03,184.8.20.123,183.172.136.221,ALLOW,High
2024-03-24T09:31:44,140.193.118.206,212.90.242.89,ALLOW,Low
2024-10-11T06:10:33,110.205.203.196,114.92.160.37,DENY,Low
2024-03-12T05:09:19,31.181.12.92,132.237.252.232,ALLOW,Medium
2024-07-05T11:04:43,106.53.255.65,107.217.77.161,ALLOW,Low
2024-06-15T11:47:32,109.219.140.255,111.15.43.214,ALLOW,Medium
2024-01-13T16:57:34,49.77.193.68,17.242.179.53,ALLOW,Medium
2024-02-16T11:04:31,71.12.102.243,50.150.123.73,DENY,Medium
2024-07-12T21:41:57,122.57.38.208,13.205.224.55,DENY,Low
2024-01-11T07:56:52,180.164.72.136,119.73.173.176,DENY,Low
2024-03-14T08:39:58,179.220.45.152,195.12.50.174,ALLOW,Medium
2024-09-27T16:54:42,43.140.26.110,157.56.23.26,ALLOW,Low
2024-10-25T08:13:28,204.88.136.91,60.87.65.152,DENY,Low
2024-04-26T19:56:03,211.228.2.85,11.132.52.13,ALLOW,Low
2024-10-03T15:03:56,201.47.200.213,142.166.109.12,ALLOW,Low
2024-03-31T20:10:04,222.177.53.64,55.55.221.56,DENY,Low
2024-03-16T23:37:07,177.233.214.106,212.252.99.110,DENY,Medium
2024-08-26T12:21:50,187.216.156.93,208.249.59.130,ALLOW,Medium
2024-06-26T09:48:17,63.229.219.28,17.38.190.246,DENY,Low
2024-08-04T06:18:43,49.113.24.210,62.199.22.14,ALLOW,Medium
2024-07-15T17:44:44,148.91.107.113,184.238.218.170,DENY,Low
2024-08-09T13:58:52,207.36.10.6,118.119.250.83,DENY,Low
2024-09-07T17:47:54,101.105.127.17,15.87.215.202,ALLOW,Low
2024-08-25T05:38:41,32.249.235.110,37.43.33.47,ALLOW,Low
2024-06-16T05:19:40,166.115.125.157,113.28.200.247,ALLOW,Low
2024-01-24T22:40:33,45.210.63.155,77.45.145.10,DENY,Low
2024-02-22T12:55:12,126.228.79.242,213.79.28.25,DENY,Low
2024-07-13T04:41:19,18.201.161.64,17.138.185.237,DENY,Low
2024-08-12T10:12:51,50.227.77.167,31.113.120.162,ALLOW,Low
2024-06-25T02:22:29,90.87.123.132,210.248.49.254,DENY,Low
2024-10-21T17:11:09,118.56.252.86,56.15.104.17,DENY,Low
2024-09-30T22:08:52,25.177.174.153,101.239.174.182,DENY,Medium
2024-04-26T09:28:16,114.235.159.214,174.239.170.89,ALLOW,Medium
2024-03-22T07:55:47,121.154.92.151,45.72.230.69,ALLOW,Low
2024-09-30T04:04:48,55.172.185.163,168.101.34.157,DENY,Medium
2024-07-26T18:00:21,117.127.60.134,140.231.47.175,DENY,Low
2024-10-01T04:29:46,104.218.102.3,199.88.85.66,DENY,Low
2024-11-04T17:34:08,74.152.86.35,77.9.178.9,ALLOW,High
2024-08-09T20:32:29,156.192.30.64,31.249.40.176,DENY,Medium
2024-02-23T16:03:27,134.194.57.53,88.71.253.112,ALLOW,Medium
2024-04-15T00:07:56,79.100.116.98,152.67.250.199,DENY,Medium
2024-01-11T13:29:08,92.70.220.32,213.191.6.225,ALLOW,Medium
2024-04-04T02:58:03,133.137.137.92,201.186.157.146,ALLOW,Medium
2024-04-21T12:16:22,222.144.12.22,14.16.133.114,ALLOW,Low
2024-09-10T02:49:07,61.41.44.84,40.133.247.98,ALLOW,Low
2024-03-17T00:24:07,48.177.164.254,138.72.163.237,DENY,Low
2024-11-24T16:39:38,204.153.96.177,3.80.169.0,ALLOW,Medium
2024-08-30T19:54:22,176.139.230.2,186.237.234.67,ALLOW,Medium
2024-09-22T02:41:48,175.120.34.50,51.205.249.136,ALLOW,Low
2024-05-21T16:14:28,177.190.254.225,207.221.7.161,ALLOW,High
2024-08-08T11:20:48,28.129.72.251,52.26.37.78,ALLOW,Low
2024-11-26T03:44:41,188.225.158.243,193.39.10.67,DENY,Low
2024-05-09T01:06:16,147.235.183.142,30.43.238.151,ALLOW,Low
2024-02-04T23:45:09,110.77.33.179,76.106.112.173,DENY,Low
2024-04-12T21:46:17,116.195.123.4,150.116.21.62,ALLOW,Low
2024-05-02T05:41:33,68.113.79.235,158.218.80.70,DENY,Low
2024-10-31T23:00:08,143.218.105.246,12.226.32.141,ALLOW,Medium
2024-03-15T02:43:43,203.0.11.189,180.221.152.50,DENY,Medium
2024-08-11T01:44:31,134.184.154.169,139.255.73.147,ALLOW,Low
2024-06-24T16:04:11,215.242.118.255,102.80.107.7,ALLOW,Low
2024-11-12T18:45:03,194.170.138.88,31.254.141.47,ALLOW,Low
2024-02-17T14:39:35,61.113.115.206,188.107.4.83,DENY,Low
2024-11-02T19:56:09,212.11.227.16,24.151.152.164,ALLOW,Low
2024-07-12T19:07:51,223.172.253.26,121.88.140.80,ALLOW,Low
2024-05-16T18:38:48,151.133.175.223,174.84.18.15,ALLOW,Low
2024-10-09T13:36:51,61.24.80.167,61.38.185.139,DENY,Medium
2024-05-27T05:28:02,10.156.239.215,212.98.7.156,DENY,Medium
2024-04-25T06:26:36,80.219.170.78,128.80.108.158,DENY,Low
2024-08-01T17:38:52,221.36.190.17,149.7.255.119,ALLOW,Low
2024-03-07T14:26:23,99.69.75.72,65.190.248.144,DENY,Low
2024-09-21T03:34:19,47.6.10.248,134.74.248.91,DENY,High
2024-07-03T21:35:00,159.166.18.242,123.105.137.100,DENY,Medium
2024-09-10T11:21:23,129.208.5.33,70.23.223.15,ALLOW,High
2024-05-23T14:20:46,60.60.172.121,9.204.24.238,DENY,Low
2024-03-08T02:54:14,63.191.218.143,203.28.78.244,DENY,Low
2024-05-14T02:04:20,214.124.180.23,216.168.167.63,ALLOW,Low
2024-08-14T06:34:41,70.18.209.66,167.111.21.96,ALLOW,High
2024-10-17T02:48:11,110.185.196.34,62.203.143.26,DENY,Low
2024-05-11T16:36:24,77.50.63.175,71.134.236.37,ALLOW,Medium
2024-06-21T03:51:48,174.123.229.8,193.27.210.55,DENY,Low
2024-02-07T02:50:09,112.253.178.78,169.220.240.2,ALLOW,Low
2024-06-30T06:22:45,123.231.176.139,30.111.71.17,DENY,Medium
2024-07-18T09:10:35,43.72.135.17,216.50.229.150,ALLOW,Low
2024-10-28T14:03:49,184.1.32.122,97.118.33.167,DENY,Low
2024-02-26T13:27:33,15.249.18.225,153.17.238.40,ALLOW,Low
2024-09-10T00:02:02,99.134.155.102,41.175.215.238,DENY,Medium
2024-02-24T11:46:34,217.75.233.84,9.24.20.27,ALLOW,High
2024-02-15T04:21:13,121.31.172.209,156.132.106.36,DENY,Low
2024-03-23T17:20:22,65.51.235.47,181.4.123.160,ALLOW,Low
2024-03-23T04:09:41,136.184.139.89,56.240.48.19,ALLOW,Low
2024-04-07T10:23:00,5.34.112.130,117.54.87.57,ALLOW,Medium
2024-03-26T10:28:03,173.224.159.154,97.49.175.187,ALLOW,Medium
2024-02-22T19:13:44,79.7.88.159,125.135.205.175,ALLOW,Low
2024-06-09T17:17:30,52.39.194.93,19.209.249.185,DENY,Medium
2024-10-26T11:51:00,68.131.42.119,49.11.174.94,ALLOW,Low
2024-01-01T22:40:45,176.21.95.35,75.199.121.128,ALLOW,Low
2024-01-05T05:48:41,79.164.135.76,115.191.56.136,DENY,Low
2024-04-15T17:20:14,83.218.115.120,62.95.70.69,ALLOW,Medium
2024-07-23T16:09:35,80.167.42.173,140.97.107.237,DENY,High
2024-08-12T05:09:52,109.52.34.119,136.168.196.246,DENY,Low
2024-08-05T03:21:59,88.116.106.155,35.253.114.153,DENY,Medium
2024-07-01T21:11:19,50.246.54.51,46.28.136.23,DENY,Medium
2024-07-17T02:33:02,169.113.226.19,65.175.207.136,DENY,Medium
2024-11-16T03:30:44,100.228.144.205,83.99.1.100,DENY,Low
2024-01-07T17:13:43,126.248.136.104,23.139.127.58,DENY,Medium
2024-02-07T13:35:59,24.195.2.24,59.251.71.40,DENY,Medium
2024-01-25T03:19:15,183.226.46.102,106.72.51.26,ALLOW,Low
2024-10-06T01:49:37,204.11.5.30,133.164.62.169,DENY,Low
2024-09-03T19:02:29,114.215.113.152,175.176.186.87,ALLOW,Low
2024-04-08T07:47:06,95.132.230.245,73.157.102.146,DENY,Low
2024-10-04T17:01:19,68.38.74.108,219.158.219.22,DENY,Low
2024-04-08T06:26:37,170.247.100.62,186.112.136.83,DENY,Medium
2024-01-05T16:55:04,159.39.173.98,155.98.146.73,DENY,Low
2024-06-20T20:59:41,85.2.139.182,51.91.243.9,DENY,Low
2024-10-07T13:55:56,171.59.159.87,114.113.159.241,DENY,Low
2024-08-16T16:24:24,220.47.243.116,62.189.245.107,DENY,Low
2024-08-24T00:05:11,79.39.97.221,29.246.16.202,DENY,Low
2024-01-06T13:13:55,45.94.208.48,27.133.217.10,DENY,Low
2024-06-22T20:34:39,146.166.173.155,89.25.94.120,DENY,Medium
2024-05-08T18:11:32,118.92.253.46,116.249.27.188,ALLOW,Low
2024-05-18T18:36:37,91.27.67.196,72.13.219.17,ALLOW,Low
2024-02-03T14:20:15,119.118.71.58,221.45.241.229,DENY,Low
2024-09-12T19:15:00,95.62.134.197,208.145.15.239,ALLOW,Low
2024-06-08T09:48:16,123.148.119.167,131.111.4.118,ALLOW,Low
2024-01-31T23:18:19,50.26.198.73,152.164.218.40,DENY,Medium
2024-01-13T06:28:09,103.132.236.118,81.215.230.190,DENY,Low
2024-10-27T17:26:21,55.231.5.158,173.221.142.195,ALLOW,Low
2024-03-10T20:02:39,149.2.65.70,36.150.249.236,ALLOW,Low
2024-04-07T16:14:27,98.191.74.2,109.70.248.136,DENY,Low
2024-02-25T04:49:43,165.57.138.99,14.66.227.138,ALLOW,Medium
2024-02-08T18:20:22,78.166.161.87,191.68.25.189,ALLOW,Low
2024-10-18T11:55:33,55.23.224.161,213.65.0.50,DENY,Low
2024-05-01T01:17:51,58.32.241.134,61.230.107.160,DENY,Low
2024-03-07T12:00:43,20.78.164.227,44.199.139.235,ALLOW,Medium
2024-03-30T12:11:51,89.23.114.249,136.132.30.173,DENY,Low
2024-04-04T16:59:59,92.205.84.212,156.242.94.21,ALLOW,Low
2024-02-19T09:56:53,65.76.56.49,112.3.142.212,ALLOW,Medium
2024-08-28T18:39:26,30.64.63.46,32.53.54.154,DENY,Low
2024-01-19T08:02:49,200.65.21.101,163.145.72.100,ALLOW,Low
2024-07-14T13:45:09,35.194.35.250,142.202.206.15,DENY,High
2024-03-28T15:30:10,90.244.16.13,194.67.242.78,ALLOW,Low
2024-08-14T16:24:52,219.23.231.233,104.146.79.123,DENY,Low
2024-07-08T21:32:34,26.44.120.81,97.221.119.243,ALLOW,Low
2024-06-03T10:05:41,21.39.43.137,50.108.251.66,ALLOW,Low
2024-03-14T13:44:19,181.4.147.163,199.82.143.40,ALLOW,Low
2024-07-30T11:30:53,135.201.167.175,51.234.38.197,ALLOW,High
2024-11-03T10:42:07,179.137.115.236,71.191.206.128,DENY,Low
2024-11-04T01:49:01,67.3.235.249,57.61.220.230,ALLOW,Medium
2024-07-23T22:32:58,152.201.107.15,11.218.88.135,DENY,Low
2024-08-12T20:54:59,112.54.171.164,223.123.92.245,ALLOW,Low
2024-05-23T18:53:40,174.203.198.82,6.59.109.43,ALLOW,Low
2024-02-17T07:52:46,66.216.217.151,30.231.251.172,DENY,Low
2024-02-23T10:12:55,191.127.203.80,159.49.170.206,ALLOW,Medium
2024-07-06T20:43:28,139.134.224.159,52.214.191.33,ALLOW,Low
2024-09-21T21:49:43,68.14.135.179,11.196.170.242,DENY,High
2024-05-26T18:14:35,53.145.196.13,66.160.89.235,DENY,Medium
2024-03-21T18:30:40,94.217.169.216,169.189.12.134,ALLOW,Low
2024-03-25T15:46:08,87.151.223.22,120.130.103.1,DENY,Medium
2024-05-03T23:28:16,53.161.176.39,206.74.73.33,ALLOW,Low
2024-03-22T16:27:20,62.221.21.179,28.221.213.100,ALLOW,Medium
2024-05-18T05:04:40,89.135.109.146,169.253.104.247,ALLOW,Low
2024-09-14T14:01:45,219.139.31.171,183.49.172.7,ALLOW,Medium
2024-05-24T12:02:19,96.175.134.171,113.244.39.157,ALLOW,Medium
2024-02-23T09:46:45,8.64.31.70,115.53.251.138,DENY,Low
2024-12-02T08:38:22,87.188.32.132,96.118.141.85,ALLOW,Medium
2024-11-11T15:37:43,142.147.68.125,11.115.37.241,ALLOW,Low
2024-08-11T04:15:40,106.249.208.34,11.247.102.222,ALLOW,Low
2024-06-03T11:28:46,190.3.96.18,34.121.95.125,DENY,Low
2024-06-11T00:57:52,160.36.51.82,149.124.190.43,DENY,Low
2024-07-29T01:13:56,22.18.130.166,87.79.111.127,DENY,High
2024-04-02T23:12:05,32.226.133.4,151.110.145.176,ALLOW,Low
2024-07-04T23:26:55,185.255.251.151,89.253.95.169,DENY,Medium
2024-11-01T08:16:06,61.156.40.155,163.68.74.242,DENY,Low
2024-03-12T09:37:53,16.250.185.163,154.84.171.100,ALLOW,Low
2024-04-13T03:53:59,34.79.39.41,59.199.13.230,DENY,Low
2024-11-24T04:29:04,215.239.146.85,119.233.30.140,DENY,Medium
2024-03-21T13:00:27,183.96.189.22,129.235.11.162,DENY,Low
